scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,rnti,cell_id,mcs_avg,mcs_min,mcs_max,prb_avg,prb_min,prb_max,tbs_avg,tbs_min,tbs_max,dl_tx,l1_cnt
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:11+02:00,1775118431.0,0.0,57,0,0,0,0,3,3,3,10,10,10,10,1
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:12+02:00,1775118432.0,1.0,57,0,0,0,0,6,3,3,20,10,10,20,2
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:12+02:00,1775118432.0,1.0,17923,0,214,0,28,403,2,87,3039,11,309,3039,33
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:13+02:00,1775118433.0,2.0,17923,0,118,2,28,405,2,21,2812,123,169,2812,22
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:14+02:00,1775118434.0,3.0,17923,0,592,26,28,44,2,2,3526,153,169,3526,22
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:15+02:00,1775118435.0,4.0,17923,0,3566,20,27,5272,2,96,324292,141,6913,324292,146
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:18+02:00,1775118438.0,7.0,17923,0,16325,19,20,71880,40,96,3519105,1985,4737,3519105,820
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:19+02:00,1775118439.0,8.0,17923,0,7698,19,20,33570,40,96,1648570,1985,4737,1648570,386
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:20+02:00,1775118440.0,9.0,17923,0,8304,19,20,36496,40,96,1787477,1985,4737,1787477,417
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:21+02:00,1775118441.0,10.0,17923,0,7892,19,20,33980,40,96,1666620,1985,4737,1666620,396
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:22+02:00,1775118442.0,11.0,17923,0,7766,19,20,33308,40,96,1638851,1985,4737,1638851,389
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:23+02:00,1775118443.0,12.0,17923,0,7855,19,20,33890,40,96,1663295,1985,4737,1663295,394
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:24+02:00,1775118444.0,13.0,17923,0,8148,19,20,34658,40,96,1698631,1985,4737,1698631,409
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:25+02:00,1775118445.0,14.0,17923,0,7886,19,20,34692,40,96,1691619,1985,4737,1691619,397
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:26+02:00,1775118446.0,15.0,17923,0,7458,19,20,32780,40,96,1601705,1985,4737,1601705,375
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:27+02:00,1775118447.0,16.0,17923,0,7945,19,20,34554,40,96,1692098,1985,4737,1692098,399
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:28+02:00,1775118448.0,17.0,17923,0,7886,19,20,34734,40,96,1701308,1985,4737,1701308,396
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:29+02:00,1775118449.0,18.0,17923,0,7849,19,20,33074,40,96,1613278,1985,4737,1613278,395
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:30+02:00,1775118450.0,19.0,17923,0,8017,19,20,33598,40,96,1642226,1985,4737,1642226,403
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:31+02:00,1775118451.0,20.0,17923,0,7591,19,20,33140,40,96,1616985,1985,4737,1616985,382
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:32+02:00,1775118452.0,21.0,17923,0,7937,19,20,34122,40,96,1675469,1985,4737,1675469,398
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:33+02:00,1775118453.0,22.0,17923,0,7764,19,20,33930,40,96,1668555,1985,4737,1668555,389
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:35+02:00,1775118455.0,24.0,17923,0,15670,19,20,68560,40,96,3357165,1985,4737,3357165,787
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:36+02:00,1775118456.0,25.0,17923,0,8069,19,20,34834,40,96,1707588,1985,4737,1707588,405
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:37+02:00,1775118457.0,26.0,17923,0,7861,19,20,33906,40,96,1666317,1985,4737,1666317,394
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:38+02:00,1775118458.0,27.0,17923,0,7697,19,20,33458,40,96,1642681,1985,4737,1642681,386
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:39+02:00,1775118459.0,28.0,17923,0,8074,19,20,34560,40,96,1695955,1985,4737,1695955,405
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:40+02:00,1775118460.0,29.0,17923,0,6348,0,20,35020,40,96,1394563,141,4737,1394563,401
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:41+02:00,1775118461.0,30.0,17923,0,5097,1,20,36112,40,96,1111349,233,4737,1111349,412
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:42+02:00,1775118462.0,31.0,17923,0,7603,19,20,32636,40,96,1596837,1985,4737,1596837,382
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:43+02:00,1775118463.0,32.0,17923,0,7743,19,20,33386,40,96,1641417,1985,4737,1641417,388
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:44+02:00,1775118464.0,33.0,17923,0,7793,19,20,34070,40,96,1671350,1985,4737,1671350,391
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:45+02:00,1775118465.0,34.0,17923,0,7558,19,20,32302,40,96,1586159,1985,4737,1586159,379
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:46+02:00,1775118466.0,35.0,17923,0,8026,19,20,33950,40,96,1670670,1985,4737,1670670,402
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:47+02:00,1775118467.0,36.0,17923,0,7572,19,20,33152,40,96,1633339,1985,4737,1633339,379
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:48+02:00,1775118468.0,37.0,17923,0,7805,19,20,33286,40,96,1629687,1985,4737,1629687,392
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:49+02:00,1775118469.0,38.0,17923,0,7828,19,20,33036,40,96,1618557,1985,4737,1618557,393
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:51+02:00,1775118471.0,40.0,17923,0,15561,19,20,68036,40,96,3335422,1985,4737,3335422,781
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:52+02:00,1775118472.0,41.0,17923,0,7884,19,20,34250,40,96,1676790,1985,4737,1676790,396
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:53+02:00,1775118473.0,42.0,17923,0,7776,19,20,33552,40,96,1646974,1985,4737,1646974,390
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:54+02:00,1775118474.0,43.0,17923,0,7744,19,20,34058,40,96,1674826,1985,4737,1674826,388
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:55+02:00,1775118475.0,44.0,17923,0,7375,19,20,32426,40,96,1590887,1985,4737,1590887,370
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:56+02:00,1775118476.0,45.0,17923,0,1420,0,20,40226,40,96,429408,141,4737,429408,452
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:57+02:00,1775118477.0,46.0,17923,0,3373,0,20,35396,40,96,773436,141,4737,773436,409
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:58+02:00,1775118478.0,47.0,17923,0,8023,19,20,33614,40,96,1645248,1985,4737,1645248,403
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:59+02:00,1775118479.0,48.0,17923,0,8011,19,20,35076,40,96,1720137,1985,4737,1720137,402
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:00+02:00,1775118480.0,49.0,17923,0,8432,19,20,37808,40,96,1839861,1985,4737,1839861,425
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:01+02:00,1775118481.0,50.0,17923,0,8123,19,20,35580,40,96,1742015,1985,4737,1742015,408
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:02+02:00,1775118482.0,51.0,17923,0,7633,19,20,31180,40,96,1529080,1985,4737,1529080,383
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:03+02:00,1775118483.0,52.0,17923,0,7551,19,20,32520,40,96,1586515,1985,4737,1586515,380
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:04+02:00,1775118484.0,53.0,17923,0,7902,19,20,34408,40,96,1683711,1985,4737,1683711,397
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:05+02:00,1775118485.0,54.0,17923,0,8041,19,20,34952,40,96,1710269,1985,4737,1710269,404
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:07+02:00,1775118487.0,56.0,17923,0,9557,0,20,76942,40,96,2167222,141,4737,2167222,881
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:08+02:00,1775118488.0,57.0,17923,0,8042,19,20,35120,40,96,1718910,1985,4737,1718910,404
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:09+02:00,1775118489.0,58.0,17923,0,7802,19,20,33526,40,96,1640252,1985,4737,1640252,392
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:10+02:00,1775118490.0,59.0,17923,0,7879,19,20,33676,40,96,1654282,1985,4737,1654282,395
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:11+02:00,1775118491.0,60.0,17923,0,5677,0,20,37338,40,96,1217767,141,4737,1217767,426
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:12+02:00,1775118492.0,61.0,17923,0,6964,17,18,33808,40,96,1371908,1633,3905,1371908,388
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:13+02:00,1775118493.0,62.0,17923,0,6963,17,18,34358,40,96,1394052,1633,3905,1394052,388
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:14+02:00,1775118494.0,63.0,17923,0,7492,17,20,35044,40,96,1527247,1633,4737,1527247,402
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:15+02:00,1775118495.0,64.0,17923,0,8077,19,20,34728,40,96,1705366,1985,4737,1705366,405
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:16+02:00,1775118496.0,65.0,17923,0,7808,19,20,33612,40,96,1646844,1985,4737,1646844,392
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:17+02:00,1775118497.0,66.0,17923,0,7753,19,20,34250,40,96,1672365,1985,4737,1672365,390
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:18+02:00,1775118498.0,67.0,17923,0,7913,19,20,34412,40,96,1688254,1985,4737,1688254,397
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:19+02:00,1775118499.0,68.0,17923,0,7662,19,20,33372,40,96,1632679,1985,4737,1632679,385
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:20+02:00,1775118500.0,69.0,17923,0,7957,19,20,34188,40,96,1678676,1985,4737,1678676,399
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:21+02:00,1775118501.0,70.0,17923,0,7777,19,20,33252,40,96,1632579,1985,4737,1632579,390
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:23+02:00,1775118503.0,72.0,17923,0,15580,19,20,66492,40,96,3259254,1985,4737,3259254,782
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:24+02:00,1775118504.0,73.0,17923,0,7558,10,20,33324,40,96,1578938,880,4737,1578938,390
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:25+02:00,1775118505.0,74.0,17923,0,7675,19,20,33474,40,96,1642678,1985,4737,1642678,385
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:26+02:00,1775118506.0,75.0,17923,0,7691,19,20,33876,40,96,1660857,1985,4737,1660857,386
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:27+02:00,1775118507.0,76.0,17923,0,7811,19,20,34192,40,96,1668784,1985,4737,1668784,393
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:28+02:00,1775118508.0,77.0,17923,0,7581,19,20,32460,40,96,1595005,1985,4737,1595005,380
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:29+02:00,1775118509.0,78.0,17923,0,7987,19,20,35042,40,96,1716814,1985,4737,1716814,401
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:30+02:00,1775118510.0,79.0,17923,0,6617,19,20,25194,40,96,1235523,1985,4737,1235523,332
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:31+02:00,1775118511.0,80.0,17923,0,7187,19,20,30198,40,96,1478106,1985,4737,1478106,361
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:32+02:00,1775118512.0,81.0,17923,0,3625,1,20,39824,40,96,794963,233,4737,794963,454
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:33+02:00,1775118513.0,82.0,17923,0,7400,19,20,31692,40,96,1549024,1985,4737,1549024,372
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:34+02:00,1775118514.0,83.0,17923,0,7687,19,20,33408,40,96,1636281,1985,4737,1636281,386
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:35+02:00,1775118515.0,84.0,17923,0,7785,19,20,34320,40,96,1680500,1985,4737,1680500,391
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:36+02:00,1775118516.0,85.0,17923,0,6405,19,20,28276,40,96,1382187,1985,4737,1382187,322
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:10+02:00,1775119990.0,1.0,57,0,0,0,0,3,3,3,10,10,10,10,1
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:10+02:00,1775119990.0,1.0,17921,0,312,0,28,186,2,87,2497,11,309,2497,21
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:12+02:00,1775119992.0,3.0,17921,0,223,27,28,16,2,2,1344,161,169,1344,8
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:13+02:00,1775119993.0,4.0,17921,0,506,0,27,61,2,17,3382,7,309,3382,21
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:14+02:00,1775119994.0,5.0,17921,0,2692,0,26,23220,2,96,598642,7,7429,598642,295
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:15+02:00,1775119995.0,6.0,17921,0,6273,0,20,25382,40,96,1091434,141,4737,1091434,355
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:16+02:00,1775119996.0,7.0,17921,0,7081,19,20,30544,40,96,1500328,1985,4737,1500328,355
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:17+02:00,1775119997.0,8.0,17921,0,6685,19,20,28588,40,96,1405396,1985,4737,1405396,335
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:18+02:00,1775119998.0,9.0,17921,0,6830,19,20,30812,40,96,1516824,1985,4737,1516824,342
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:19+02:00,1775119999.0,10.0,17921,0,6580,19,20,29620,40,96,1454090,1985,4737,1454090,330
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:20+02:00,1775120000.0,11.0,17921,0,6680,19,20,29596,40,96,1453007,1985,4737,1453007,335
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:21+02:00,1775120001.0,12.0,17921,0,6315,19,20,28596,40,96,1401592,1985,4737,1401592,317
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:22+02:00,1775120002.0,13.0,17921,0,6455,19,20,28500,40,96,1404690,1985,4737,1404690,323
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:23+02:00,1775120003.0,14.0,17921,0,6420,19,20,28572,40,96,1402434,1985,4737,1402434,322
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:24+02:00,1775120004.0,15.0,17921,0,2099,0,20,33706,40,96,545310,141,4737,545310,381
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:25+02:00,1775120005.0,16.0,17921,0,2045,0,20,32372,40,96,528946,141,4737,528946,367
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:26+02:00,1775120006.0,17.0,17921,0,6716,19,20,29788,40,96,1460941,1985,4737,1460941,337
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:28+02:00,1775120008.0,19.0,17921,0,13381,19,20,55672,40,96,2725829,1985,4737,2725829,672
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:29+02:00,1775120009.0,20.0,17921,0,6658,19,20,25778,40,96,1264646,1985,4737,1264646,334
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:30+02:00,1775120010.0,21.0,17921,0,7017,19,20,30082,40,96,1468364,1985,4737,1468364,353
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:31+02:00,1775120011.0,22.0,17921,0,6823,19,20,25518,40,96,1253911,1985,4737,1253911,342
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:32+02:00,1775120012.0,23.0,17921,0,6904,19,20,26426,40,96,1291277,1985,4737,1291277,347
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:33+02:00,1775120013.0,24.0,17921,0,6688,19,20,30028,40,96,1469636,1985,4737,1469636,336
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:34+02:00,1775120014.0,25.0,17921,0,5505,19,20,22652,2,96,1108384,92,4737,1108384,277
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:35+02:00,1775120015.0,26.0,17921,0,6458,19,20,27124,40,96,1322863,1985,4737,1322863,325
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:36+02:00,1775120016.0,27.0,17921,0,6805,19,20,25468,40,96,1252186,1985,4737,1252186,341
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:37+02:00,1775120017.0,28.0,17921,0,6850,19,20,23628,40,96,1156046,1985,4737,1156046,344
S1,cell_edge_cw_interference,steady_impairment,2026-04-02T10:53:38+02:00,1775120018.0,29.0,17921,0,7097,19,20,26314,40,96,1298558,1985,4737,1298558,355
